,upper_mean,Balanced_acc,F2_score,AUC,Recall,Precision
137,2.040195383,0.891392895,0.749411689,0.969149469,0.816496251,0.564550141
154,2.039698419,0.891392895,0.749411689,0.969149469,0.816496251,0.564550141
142,2.042594305,0.891327051,0.749061583,0.969149469,0.816496251,0.563582666
147,2.042808813,0.891327051,0.749061583,0.969149469,0.816496251,0.563582666
150,2.042713359,0.891327051,0.749061583,0.969149469,0.816496251,0.563582666
152,2.042772225,0.891327051,0.749061583,0.969149469,0.816496251,0.563582666
153,2.042209099,0.891327051,0.749061583,0.969149469,0.816496251,0.563582666
155,2.042547787,0.891327051,0.749061583,0.969149469,0.816496251,0.563582666
144,2.048406339,0.891294124,0.7488929,0.969149469,0.816496251,0.563061517
143,2.059275502,0.891162426,0.748193567,0.969149469,0.816496251,0.561110973
136,2.119496652,0.891051654,0.745397836,0.969149469,0.817723245,0.551236743
1,6.674737219,0.844519888,0.472668748,0.969149469,0.975384382,0.154593058
151,1.985071554,0.890042417,0.749021002,0.969149469,0.812807695,0.570669927
158,1.987660884,0.890042417,0.749021002,0.969149469,0.812807695,0.570669927
162,1.984288721,0.890042417,0.749021002,0.969149469,0.812807695,0.570669927
164,1.985030452,0.890042417,0.749021002,0.969149469,0.812807695,0.570669927
165,1.989153651,0.890042417,0.749021002,0.969149469,0.812807695,0.570669927
167,1.98661883,0.890042417,0.749021002,0.969149469,0.812807695,0.570669927
168,1.995274501,0.889943646,0.748499776,0.969149469,0.812807695,0.569148473
157,2.002550056,0.88991073,0.748337809,0.969149469,0.812807695,0.568677929
159,2.007229197,0.889779054,0.747671242,0.969149469,0.812807695,0.566760829
160,2.008923798,0.889779054,0.747671242,0.969149469,0.812807695,0.566760829
161,2.010556725,0.889746137,0.747510375,0.969149469,0.812807695,0.566302299
163,1.972115333,0.889461837,0.748234959,0.969149469,0.811580701,0.570783315
166,1.970510777,0.889461837,0.748234959,0.969149469,0.811580701,0.570783315
156,1.964261584,0.888910396,0.747586979,0.969149469,0.810346133,0.571390934
0,7.705009989,0.802089916,0.407875696,0.969149469,0.982769068,0.122234614
